formula_index,location,document_paragraph,context,source_object,source_formula_decoded_now,converted_formula_in_existing_docx,diagnostic_normalized_source,diagnostic_normalized_converted,mismatch_reason,current_decoder_valid,current_decoder_error
176,"{'block_index': 111, 'paragraph_index': 176, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",205,7設△ABC的三邊長[MathType OLE]、[MathType OLE]、[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject176.bin,$ \angle C $,[MATH_PARSE_FAILED_176],\angle C,[MATH_PARSE_FAILED_176],conversion_failure_placeholder; historical per-object error unavailable,True,
177,"{'block_index': 113, 'paragraph_index': 178, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",207,8設△ABC中，a、b、c為三邊長，若[MathType OLE]，試求[MathType OLE]。（提示：將式子左式化成[MathType OLE]）,word/embeddings/oleObject177.bin,$ a ^ { 2 } -\left ( { b+c } \right ) ^ { 2 } =-bc $,[MATH_PARSE_FAILED_177],a ^ { 2 } -\left ( { b+c } \right ) ^ { 2 } =-bc,[MATH_PARSE_FAILED_177],conversion_failure_placeholder; historical per-object error unavailable,True,
178,"{'block_index': 113, 'paragraph_index': 178, 'table_index': None, 'row': None, 'col': None, 'run_index': 14, 'in_table_cell': False}",207,8設△ABC中，a、b、c為三邊長，若[MathType OLE]，試求[MathType OLE]。（提示：將式子左式化成[MathType OLE]）,word/embeddings/oleObject178.bin,$ \angle A $,[MATH_PARSE_FAILED_178],\angle A,[MATH_PARSE_FAILED_178],conversion_failure_placeholder; historical per-object error unavailable,True,
179,"{'block_index': 113, 'paragraph_index': 178, 'table_index': None, 'row': None, 'col': None, 'run_index': 18, 'in_table_cell': False}",207,8設△ABC中，a、b、c為三邊長，若[MathType OLE]，試求[MathType OLE]。（提示：將式子左式化成[MathType OLE]）,word/embeddings/oleObject179.bin,$ \frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 }  } { 2bc }=cosA $,[MATH_PARSE_FAILED_179],\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 } } { 2bc }=cosA,[MATH_PARSE_FAILED_179],conversion_failure_placeholder; historical per-object error unavailable,True,
180,"{'block_index': 117, 'paragraph_index': 182, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",211,9如圖，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，試求A、B兩棟飯店的直線距離。,word/embeddings/oleObject180.bin,$  {\overline{ CA }} =2\sqrt[] { 2 } $,[MATH_PARSE_FAILED_180],{\overline{ CA }} =2\sqrt[] { 2 },[MATH_PARSE_FAILED_180],conversion_failure_placeholder; historical per-object error unavailable,True,
181,"{'block_index': 117, 'paragraph_index': 182, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",211,9如圖，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，試求A、B兩棟飯店的直線距離。,word/embeddings/oleObject181.bin,$  {\overline{ CB }} =4 $,[MATH_PARSE_FAILED_181],{\overline{ CB }} =4,[MATH_PARSE_FAILED_181],conversion_failure_placeholder; historical per-object error unavailable,True,
182,"{'block_index': 117, 'paragraph_index': 182, 'table_index': None, 'row': None, 'col': None, 'run_index': 14, 'in_table_cell': False}",211,9如圖，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，試求A、B兩棟飯店的直線距離。,word/embeddings/oleObject182.bin,$ \angle ACB=135{}^\circ  $,[MATH_PARSE_FAILED_182],\angle ACB=135{}^\circ,[MATH_PARSE_FAILED_182],conversion_failure_placeholder; historical per-object error unavailable,True,
183,"{'block_index': 119, 'paragraph_index': 184, 'table_index': None, 'row': None, 'col': None, 'run_index': 18, 'in_table_cell': False}",213,10歐洲某大城市為提升旅遊品質吸引遊客到訪，決定在A、B、C三大觀光景點等距離的地方，設置免費的WiFi基地臺，已知三景點間的距離為[MathType OLE]公尺、[MathType OLE]公尺、[MathType OLE]公尺，則基地臺與三大景點的距離為幾公尺呢？,word/embeddings/oleObject183.bin,$  {\overline{ AB }} =50 $,[MATH_PARSE_FAILED_183],{\overline{ AB }} =50,[MATH_PARSE_FAILED_183],conversion_failure_placeholder; historical per-object error unavailable,True,
184,"{'block_index': 119, 'paragraph_index': 184, 'table_index': None, 'row': None, 'col': None, 'run_index': 20, 'in_table_cell': False}",213,10歐洲某大城市為提升旅遊品質吸引遊客到訪，決定在A、B、C三大觀光景點等距離的地方，設置免費的WiFi基地臺，已知三景點間的距離為[MathType OLE]公尺、[MathType OLE]公尺、[MathType OLE]公尺，則基地臺與三大景點的距離為幾公尺呢？,word/embeddings/oleObject184.bin,$  {\overline{ AC }} =70 $,[MATH_PARSE_FAILED_184],{\overline{ AC }} =70,[MATH_PARSE_FAILED_184],conversion_failure_placeholder; historical per-object error unavailable,True,
185,"{'block_index': 119, 'paragraph_index': 184, 'table_index': None, 'row': None, 'col': None, 'run_index': 22, 'in_table_cell': False}",213,10歐洲某大城市為提升旅遊品質吸引遊客到訪，決定在A、B、C三大觀光景點等距離的地方，設置免費的WiFi基地臺，已知三景點間的距離為[MathType OLE]公尺、[MathType OLE]公尺、[MathType OLE]公尺，則基地臺與三大景點的距離為幾公尺呢？,word/embeddings/oleObject185.bin,$  {\overline{ BC }} =80 $,[MATH_PARSE_FAILED_185],{\overline{ BC }} =80,[MATH_PARSE_FAILED_185],conversion_failure_placeholder; historical per-object error unavailable,True,
